	index	contact	neutral expectation
1-10%	0.7052631578947368	0.42857142857142855	0.5010935880000185
10-20%	0.16842105263157894	0.0	0.1508442006228939
20-30%	0.031578947368421054	0.0	0.08823820081565178
30-40%	0.021052631578947368	0.0	0.06260599980724213
40-50%	0.0	0.0	0.048560986131335304
50-60%	0.010526315789473684	0.0	0.039677214684316474
60-70%	0.0	0.0	0.0335466070210863
70-80%	0.0	0.0	0.029059392786155817
80-90%	0.031578947368421054	0.0	0.0256322010084097
90-99%	0.031578947368421054	0.5714285714285714	0.020741609122890026
