	x	y	gene	style
0	1	0.0	#66c2a5	piN
1	4	0.0	#66c2a5	piN
2	7	0.0	#66c2a5	piN
3	10	0.0	#66c2a5	piN
4	13	0.0	#66c2a5	piN
5	16	0.0	#66c2a5	piN
6	19	0.0	#66c2a5	piN
7	22	0.0	#66c2a5	piN
8	25	0.0	#66c2a5	piN
9	28	0.0	#66c2a5	piN
10	31	0.0	#66c2a5	piN
11	34	0.0	#66c2a5	piN
12	37	0.0	#66c2a5	piN
13	40	0.0	#66c2a5	piN
14	43	0.0	#66c2a5	piN
15	46	0.0	#66c2a5	piN
16	49	0.0	#66c2a5	piN
17	52	0.0	#66c2a5	piN
18	55	0.0	#66c2a5	piN
19	58	0.0	#66c2a5	piN
20	61	0.0	#66c2a5	piN
21	64	0.0	#66c2a5	piN
22	67	0.0	#66c2a5	piN
23	70	0.0	#66c2a5	piN
24	73	0.0	#66c2a5	piN
25	76	0.0	#66c2a5	piN
26	79	0.0	#66c2a5	piN
27	82	0.0	#66c2a5	piN
28	85	0.0	#66c2a5	piN
29	88	0.0	#66c2a5	piN
30	91	0.0	#66c2a5	piN
31	94	0.0	#66c2a5	piN
32	97	0.0	#66c2a5	piN
33	100	0.0	#66c2a5	piN
34	103	0.0	#66c2a5	piN
35	106	0.0	#66c2a5	piN
36	109	0.0	#66c2a5	piN
37	112	0.0	#66c2a5	piN
38	115	0.0	#66c2a5	piN
39	118	0.0	#66c2a5	piN
40	121	0.0	#66c2a5	piN
41	124	0.0	#66c2a5	piN
42	127	0.0	#66c2a5	piN
43	130	0.0	#66c2a5	piN
44	133	0.0	#66c2a5	piN
45	136	0.0	#66c2a5	piN
46	139	0.0	#66c2a5	piN
47	142	0.0	#66c2a5	piN
48	145	0.0	#66c2a5	piN
49	148	0.0	#66c2a5	piN
50	151	0.0	#66c2a5	piN
51	154	0.0	#66c2a5	piN
52	157	0.0	#66c2a5	piN
53	160	0.0	#66c2a5	piN
54	163	0.0	#66c2a5	piN
55	166	0.0	#66c2a5	piN
56	169	0.0	#66c2a5	piN
